segNum,segLength,cumLength,EInit,NInit,UpInit,psiInit,kStart,kEnd,grade,bank,maxE,maxV,frictionBase,updatedFriction,mapType,totalLength,totalSegs,creationTime,x,y,z,bufferLeft,bufferRight,
0,0.999985076,0.999985076,-876.7104081,149.5423989,0,2.289012218,-0.0223872,-0.021008346,0,0,0,0,0,0,0,2672.343435,2500,0,0,0,0,0,0,0
1,0.999991982,1.999977058,-877.4389995,148.9056711,0,2.289012218,-0.021008346,-0.019647534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.999993712,2.99997077,-878.1834058,148.2814018,0,2.268642781,-0.019647534,-0.018310413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.999994143,3.999964912,-878.9427853,147.6689299,0,2.249513953,-0.018310413,-0.017001142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.499999996,4.499964909,-879.7162991,147.0675914,0,2.231611161,-0.017001142,-0.016357882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1.499998623,5.999963532,-880.1080967,146.7708879,0,2.218945298,-0.016357882,-0.01447637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.99999989,6.999963422,-881.3023849,145.8956512,0,2.203232192,-0.01447637,-0.013263291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.9999999,7.999963322,-882.1132775,145.3237228,0,2.185075332,-0.013263291,-0.012083212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.999999942,8.999963263,-882.9349521,144.7602696,0,2.171885994,-0.012083212,-0.010935333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.999999582,9.999962846,-883.7665707,144.2046268,0,2.159822466,-0.010935333,-0.009818285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.999999164,10.99996201,-884.6072952,143.6561299,0,2.148863722,-0.009818285,-0.008730243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.9999951,11.99995711,-885.4562872,143.1141144,0,2.138989498,-0.008730243,-0.007669013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.999994412,12.99995152,-886.3127057,142.5779175,0,2.130180632,-0.007669013,-0.006632105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0.99999507,13.99994659,-887.1757156,142.0468726,0,2.122419294,-0.006632105,-0.005616803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0.999995585,14.99994218,-888.0444799,141.5203144,0,2.115689212,-0.005616803,-0.00462022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.999997428,15.9999396,-888.9181606,140.9975782,0,2.109975884,-0.00462022,-0.003639334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0.999998544,16.99993815,-889.7959208,140.4779987,0,2.1052667,-0.003639334,-0.002671031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1.999998662,18.99993681,-890.6769218,139.9609116,0,2.101551054,-0.002671031,-0.000759387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0.999999973,19.99993678,-892.445293,138.9315569,0,2.097944118,-0.000759387,0.000190441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0.999999767,20.99993655,-893.3309869,138.4179599,0,2.096290959,0.000190441,0.001140623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0.999999762,21.99993631,-894.2165685,137.9041973,0,2.096485964,0.001140623,0.002094421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0.999999287,22.9999356,-895.1011999,137.3896043,0,2.097653738,0.002094421,0.003055073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0.999999313,23.99993491,-895.9840427,136.8735164,0,2.099796766,0.003055073,0.004025778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
