segNum,segLength,cumLength,EInit,NInit,UpInit,psiInit,kStart,kEnd,grade,bank,maxE,maxV,frictionBase,updatedFriction,mapType,totalLength,totalSegs,creationTime,x,y,z,bufferLeft,bufferRight,
0,7.4846,7.4846,-7.9018,0.44303,0,4.671,0.016592,-0.0013097,0,0,0,0,0,0,0,243.99,11,0,0,0,0,0,0,0
1,5.4858,12.97,-7.9137,-7.0404,0,4.7282,-0.0013097,-0.00060924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,17.102,30.072,-7.8429,-12.526,0,4.723,-0.00060924,0.00012963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,79.715,109.79,-7.715,-29.627,0,4.7189,0.00012963,-0.00013805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,21.016,130.8,-7.0698,-109.34,0,4.7185,-0.00013805,0.00043283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,31.319,162.12,-6.929,-130.36,0,4.7216,0.00043283,0.01075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,20.347,182.47,-4.7457,-161.56,0,4.8968,0.01075,0.0096946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,17.402,199.87,1.065,-181.02,0,5.1047,0.0096946,0.01615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,7.307,207.18,9.3207,-196.3,0,5.3296,0.01615,0.0025018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,7.439,214.62,13.798,-202.07,0,5.3978,0.0025018,0.0097458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,29.372,243.99,18.61,-207.74,0,5.4433,0.0097458,0.011085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
