segNum,segLength,cumLength,EInit,NInit,UpInit,psiInit,kStart,kEnd,grade,bank,maxE,maxV,frictionBase,updatedFriction,mapType,totalLength,totalSegs,creationTime,x,y,z,bufferLeft,bufferRight,width,distToLeftCurb,distToRightCurb
0,91,0,-10.931925,2.600825,0,-1.643246,0.001567,0.0011,0,0,0,0,0,0,0,4535.000022,107,20150219191255,-2634232.40690259,-4161937.08618997,4038641.59455034,0,0,0,0,0
1,74,91,-11.680206,-88.34014,0,-1.521893,0.0011,0.005256,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
2,24,165,-1.316942,-161.433809,0,-1.286715,0.005256,0.010635,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
3,51,189,7.319142,-183.786775,0,-1.096017,0.010635,0.007061,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
4,32,240.000001,40.496035,-221.948362,0,-0.644776,0.007061,0.00544,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
5,20,272.000001,67.889391,-238.385657,0,-0.444775,0.00544,0.001658,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
6,32,292.000001,86.283206,-246.227571,0,-0.373801,0.001658,0.003578,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
7,39,324.000001,116.473976,-256.806425,0,-0.290031,0.003578,-0.002302,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
8,62,363.000001,154.175851,-266.775291,0,-0.265157,-0.002302,0.001928,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
9,61,425.000001,213.533735,-284.670271,0,-0.276767,0.001928,0.003946,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
10,23,486.000001,273.267779,-296.621002,0,-0.097626,0.003946,0.009945,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
11,126.000001,509.000001,296.233112,-297.292562,0,0.062122,0.009945,0.011481,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
12,91.000001,635.000002,383.895916,-220.342031,0,1.411981,0.011481,0.009574,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
13,27,726.000003,355.120679,-137.648173,0,2.369968,0.009574,0.008446,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
14,19,753.000003,333.63816,-121.403087,0,2.613229,0.008446,0.010414,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
15,26,772.000003,316.486292,-113.28874,0,2.792401,0.010414,-0.003251,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
16,40,798.000003,291.4609,-106.280188,0,2.88552,-0.003251,0.002573,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
17,36,838.000003,253.045478,-95.139745,0,2.871959,0.002573,-0.007525,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
18,28,874.000003,218.501405,-85.059639,0,2.782836,-0.007525,-0.000778,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
19,23,902.000003,193.095802,-73.327998,0,2.666594,-0.000778,-0.012645,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
20,29.000001,925.000003,173.265934,-61.723383,0,2.512224,-0.012645,-0.012119,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
21,109.000002,954.000004,153.381718,-40.82843,0,2.15315,-0.012119,-0.011235,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
22,27,1063.000006,159.718518,60.762295,0,0.880348,-0.011235,-0.002955,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
23,17,1090.000006,179.147625,79.449883,0,0.688782,-0.002955,0.014843,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
24,25.000001,1107.000006,191.987043,90.579297,0,0.78983,0.014843,0.014662,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
25,22,1132.000007,205.944669,111.14894,0,1.158633,0.014662,0.01491,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
26,18.000001,1154.000007,211.362939,132.370911,0,1.483924,0.01491,0.010743,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
27,19,1172.000008,210.737986,150.319765,0,1.714802,0.010743,0.009753,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
28,35,1191.000008,206.17494,168.732615,0,1.909512,0.009753,0.000034,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
29,32,1226.000008,190.886439,200.166157,0,2.080779,0.000034,-0.011392,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
30,25,1258.000008,177.000315,228.943991,0,1.89905,-0.011392,0.013058,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
31,11,1283.000008,169.905999,252.908935,0,1.919875,0.013058,0.006055,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
32,15.000002,1294.000008,165.543474,263.001213,0,2.024996,0.006055,0.018231,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
33,8.999994,1309.000009,157.969768,275.924112,0,2.207145,0.018231,0.033743,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
34,21.999994,1318.000003,151.903597,282.543873,0,2.441027,0.033743,-0.014376,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
35,4,1339.999998,132.711493,293.177005,0,2.654062,-0.014376,-0.013808,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
36,26.000001,1343.999998,129.232598,295.149954,0,2.597695,-0.013808,-0.018702,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
37,60.000003,1369.999999,110.255721,312.637994,0,2.175066,-0.018702,-0.009823,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
38,22,1430.000002,102.630219,370.309726,0,1.319324,-0.009823,-0.010225,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
39,62,1452.000002,110.384964,390.849872,0,1.098803,-0.010225,-0.003519,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
40,45,1514.000002,150.942613,437.113675,0,0.672735,-0.003519,0.005199,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
41,31,1559.000002,186.515103,464.662206,0,0.710539,0.005199,0.00998,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
42,26,1590.000003,207.70881,487.186923,0,0.945828,0.00998,0.015109,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
43,27.000001,1616.000003,219.500626,510.229211,0,1.271995,0.015109,0.013464,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
44,52,1643.000004,222.238844,536.921557,0,1.657729,0.013464,0.007605,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
45,16,1695.000004,202.891,584.485508,0,2.20552,0.007605,0.002759,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
46,34,1711.000004,192.800735,596.896655,0,2.288433,0.002759,0.00253,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
47,44,1745.000004,169.305668,621.456826,0,2.378336,0.00253,-0.000725,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
48,76,1789.000004,136.563999,650.845142,0,2.418041,-0.000725,0.006052,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
49,47,1865.000005,76.884575,697.669739,0,2.620461,0.006052,0.00415,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
50,54,1912.000005,33.586516,715.660988,0,2.860189,0.00415,0.00374,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
51,28,1966.000005,-19.50637,724.941352,0,3.073217,0.00374,-0.000185,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
52,45,1994.000005,-47.486729,725.902558,0,3.122996,-0.000185,0.00066,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
53,38,2039.000005,-92.480409,726.640978,0,3.133703,0.00066,0.001247,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
54,30,2077.000005,-130.476982,726.322821,0,3.16994,0.001247,0.006799,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
55,41,2107.000005,-160.374268,724.081627,0,3.290629,0.006799,0.006618,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
56,46,2148.000005,-199.571148,712.504914,0,3.565688,0.006618,0.007155,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
57,17,2194.000005,-237.876837,687.384803,0,3.882468,0.007155,-0.00062,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
