s,grade,grade_s,grade_ss,bank,bank_s,bank_ss
0,0.008651608,0.000808758,4.06E-08,-0.034589899,1.71E-05,6.79E-07
3.81405223,0.007340298,0.000772664,3.82E-08,-0.034396742,1.69E-05,6.79E-07
7.62810446,0.008234114,0.000721886,3.56E-08,-0.03436965,1.58E-05,6.79E-07
11.4421567,0.009571864,0.00067093,3.46E-08,-0.034416806,1.26E-05,6.79E-07
15.2562089,0.011092015,0.000619651,3.45E-08,-0.034534854,8.44E-06,6.79E-07
19.0702612,0.012518489,0.000568207,3.45E-08,-0.034701092,4.11E-06,6.79E-07
22.8843134,0.013794172,0.000516932,3.45E-08,-0.034853643,-1.81E-07,6.79E-07
26.6983656,0.015280573,0.00046549,3.45E-08,-0.035008221,-4.49E-06,6.79E-07
30.5124178,0.01690107,0.000436031,3.45E-08,-0.035180914,-8.77E-06,6.79E-07
34.3264701,0.018596312,0.000438043,3.45E-08,-0.035328044,-1.31E-05,6.79E-07
38.1405223,0.020320345,0.00044006,3.44E-08,-0.035341908,-1.73E-05,4.68E-07
41.9545745,0.021944797,0.000442081,3.41E-08,-0.035168546,-2.17E-05,-3.18E-07
45.7686268,0.023778574,0.000444087,3.38E-08,-0.03498875,-2.59E-05,-1.04E-06
49.582679,0.02552306,0.000446086,3.38E-08,-0.034855366,-3.02E-05,-1.04E-06
53.3967312,0.027124425,0.000448113,3.38E-08,-0.034791153,-3.45E-05,-1.04E-06
57.2107835,0.028784485,0.000450136,3.38E-08,-0.034847896,-3.89E-05,-1.04E-06
61.0248357,0.030607549,0.000452158,3.38E-08,-0.035034504,-4.31E-05,-1.04E-06
64.8388879,0.032523433,0.000454187,3.38E-08,-0.035294124,-4.75E-05,-1.04E-06
68.6529401,0.034464785,0.000456208,3.38E-08,-0.035547312,-5.18E-05,-1.04E-06
72.4669924,0.036429245,0.000458222,3.38E-08,-0.035765,-5.61E-05,-1.04E-06
76.2810446,0.038037899,0.000460219,3.38E-08,-0.035933833,-6.03E-05,-1.04E-06
80.0950968,0.039223424,0.000462218,3.38E-08,-0.036110343,-6.46E-05,-1.04E-06
83.9091491,0.040639644,0.000464239,3.38E-08,-0.036309769,-6.89E-05,-1.04E-06
87.7232013,0.042424227,0.000466284,3.38E-08,-0.036467935,-7.33E-05,-1.04E-06
91.5372535,0.044238451,0.000468331,3.38E-08,-0.03665386,-7.07E-05,-1.04E-06
95.3513058,0.045959032,0.00047038,3.46E-08,-0.036945157,-5.33E-05,8.99E-07
99.165358,0.047840227,0.000472403,3.64E-08,-0.037185405,-3.61E-05,5.05E-06
102.97941,0.049777946,0.000464279,-1.63E-06,-0.037246101,-1.90E-05,5.05E-06
106.793462,0.051468401,0.000430527,-7.29E-06,-0.037090994,-1.95E-06,5.05E-06
110.607515,0.052939435,0.000388781,-1.18E-05,-0.036812837,1.53E-05,5.05E-06
114.421567,0.054313129,0.00034705,-1.18E-05,-0.036489941,3.29E-05,5.03E-06
118.235619,0.055536679,0.000305255,-1.18E-05,-0.036151831,5.07E-05,5.00E-06
122.049671,0.056538711,0.000263151,-1.18E-05,-0.035786497,6.85E-05,4.96E-06
125.863724,0.057445763,0.000220852,-1.19E-05,-0.035355674,8.63E-05,4.90E-06
129.677776,0.058251684,0.00017815,-1.19E-05,-0.034829436,0.000103882,4.85E-06
133.491828,0.059087315,0.000134657,-1.19E-05,-0.034273324,0.000121201,4.80E-06
137.30588,0.059843101,9.12E-05,-1.19E-05,-0.03379728,0.00013808,4.76E-06
141.119933,0.060366545,4.78E-05,-1.19E-05,-0.033349414,0.000154586,4.72E-06
144.933985,0.060781896,5.05E-06,-1.20E-05,-0.032838761,0.000170538,4.68E-06
148.748037,0.06082954,-3.78E-05,-1.20E-05,-0.032208373,0.000186273,4.65E-06
152.562089,0.060538316,-8.07E-05,-1.20E-05,-0.031453916,0.000201843,4.63E-06
156.376141,0.060022135,-0.000123519,-1.20E-05,-0.03057303,0.000217282,4.61E-06
160.190194,0.059543059,-0.000166461,-1.20E-05,-0.029649018,0.000232689,4.59E-06
164.004246,0.058984967,-0.000209377,-1.20E-05,-0.028695386,0.00024808,4.58E-06
167.818298,0.058176749,-0.000251789,-1.18E-05,-0.027702239,0.000252042,9.72E-07
171.63235,0.056949884,-0.000292432,-1.06E-05,-0.026710216,0.00021154,-1.29E-05
175.446403,0.055636627,-0.00033303,-6.15E-06,-0.025779307,0.000171134,-1.28E-05
179.260455,0.054506301,-0.000363688,1.34E-06,-0.025017969,0.000131441,-1.25E-05
183.074507,0.053375132,-0.000358945,1.32E-06,-0.024474675,9.39E-05,-1.25E-05
186.888559,0.052236,-0.000354252,1.30E-06,-0.024312098,5.64E-05,-1.25E-05
190.702612,0.050910097,-0.000349644,1.28E-06,-0.024480215,1.88E-05,-1.25E-05
194.516664,0.049551599,-0.000345118,1.25E-06,-0.024850214,-1.93E-05,-1.25E-05
198.330716,0.048211686,-0.0003408,1.21E-06,-0.025404278,-5.74E-05,-1.25E-05
202.144768,0.046831233,-0.000336732,1.11E-06,-0.026069187,-9.55E-05,-9.77E-06
205.95882,0.045282491,-0.000333159,8.05E-07,-0.026859096,-0.000124536,1.90E-06
209.772873,0.043723887,-0.000330555,8.14E-07,-0.027610107,-0.000116579,1.89E-06
213.586925,0.042204086,-0.000327953,8.23E-07,-0.02826662,-0.000108522,1.89E-06
217.400977,0.040966588,-0.000325375,8.32E-07,-0.028784569,-0.000100459,1.89E-06
221.215029,0.039806864,-0.000322741,8.43E-07,-0.029095904,-9.24E-05,1.88E-06
225.029082,0.038802766,-0.000320022,8.18E-07,-0.029204634,-8.43E-05,1.88E-06
