segNum,segLength,cumLength,EInit,NInit,UpInit,psiInit,kStart,kEnd,grade,bank,maxE,maxV,frictionBase,updatedFriction,mapType,totalLength,totalSegs,creationTime,x,y,z,bufferLeft,bufferRight
0,96.3,0,108.965978,-254.764086,0,-0.283556,0,0,0.034109,-0.032151,10,99,0.95,0.3,0,4542.536206,82,1485151150,-2634230.473,-4161936.654,4038639.742,1,1
1,135.9175,96.3,201.420396,-281.706073,0,-0.283556,0,0.01107,0.051209,-0.028663,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
2,153.802836,232.2175,333.873143,-286.212393,0,0.468739,0.01107,0.01107,0,0,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
3,122.944365,386.020336,367.593301,-154.574857,0,2.171319,0.01107,0,-0.025543,-0.036556,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
4,39.79005,508.964701,262.820475,-95.194702,0,2.851809,0,0,-0.038848,-0.033922,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
5,58.933861,548.754751,224.689442,-83.824898,0,2.851809,0,-0.012207,-0.006973,-0.036381,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
6,37.896681,607.688612,170.939686,-60.492191,0,2.492108,-0.012207,-0.012207,0,0,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
7,78.682765,645.585293,147.031241,-31.524707,0,2.029506,-0.012207,-0.012207,0,0,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
8,49.340755,724.268058,148.660591,44.150797,0,1.069032,-0.012207,0,0.008306,-0.037339,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
9,0.4,773.608813,180.419685,81.651063,0,0.767882,0,0,0.01352,-0.033181,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
10,17.491015,774.008813,180.707439,81.928908,0,0.767882,0,0.01283,0.0196,-0.030608,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
11,77.560768,791.499828,192.82034,94.533312,0,0.88009,0.01283,0.01283,0,0,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
